dow30,naftrac,nasdaq,russell2000,sp500
1.2646015723,-0.1408670984,0.7494028101,0.9486098353,1.2984147914
0.06256399,1.5644725648,0.6206594122,0.8539855286,0.2762907771
-0.1158218641,0.0937176515,-0.3215298972,-0.7705580056,-0.2359455428
0.5887990528,-0.0098376986,0.9373837088,0.6996307499,0.7362867976
0.380129969,0.1194657758,0.3579643658,0.0973595358,0.461139194
-0.4011047524,-0.4231517371,0.2049370198,-0.1721386657,-0.0523928552
1.1729976073,0.5864786601,0.8879512673,1.3580573947,0.9488816497
0.5065947186,0.3254526916,0.358263747,0.3008057098,0.5374419252
0.3579957322,0.6331544629,-0.0771948716,-0.4363650899,0.2434768909
0.3621509336,0.4249895659,0.0654016416,0.1741895776,0.2984839643
-0.310053977,-0.1372407245,0.0830199601,-0.0067757075,-0.2774208577
0.4658260797,0.3217852786,0.3469671312,0.3663961582,0.512637622
0.1526270354,-0.0861221452,0.2279461138,0.7770005789,0.0772319544
0.0539190181,0.3719561751,-0.076779136,-0.2304392968,-0.0394170363
-0.3370213737,-0.3142917879,-0.3083164531,-0.578271391,-0.2421514163
0.0782941488,0.4226096816,0.4255583605,0.6505305587,0.34165813
-0.259134618,0.4969882594,0.3246475567,0.3810053039,-0.1086370146
0.0229807712,0.4695811588,-0.5961567062,-0.6161115046,-0.1360282511
-0.1088207673,0.668573967,-0.2731294628,-0.4354366392,-0.2240346552
0.4103398132,-0.109753686,0.383374961,0.2049479414,0.5415473698
-0.2251933738,0.2902149363,0.1437675137,0.1444365128,-0.4033254869
-0.7104192833,-1.1819280019,-0.9005907304,-1.1482663011,-0.8078759165
0.3237299364,-0.0854233974,0.6747540864,0.4987045989,0.3796044795
-0.1836130579,-0.5896368308,0.0568383818,0.5656913034,0.0575193626
-0.4677377726,0.395519583,-0.5668926448,-0.9801232383,-0.7400078722
0.2478340019,0.1669058391,-1.0900496085,-1.1823694326,-0.1279895039
0.8055339442,0.4187046748,0.8747582377,0.5769757314,0.9789494372
0.6873612161,0.3418152055,0.6095595466,0.4096803853,0.5246860615
0.0424885974,-1.1116139749,-0.3433548826,-1.0414853652,-0.1008537699
-0.7677580775,-1.1980359817,-1.1593542849,-1.4827728938,-0.978966062
-0.8380266864,-0.7250758419,-0.4624469688,-0.9247573676,-0.7183282179
0.9978082574,0.3756865837,0.9466221957,0.7801418215,0.8674120765
-1.8291342046,-1.0088988166,-1.9403157328,-1.5495281526,-1.9292512991
1.0945925181,0.3519499242,0.9323339683,0.7436642533,0.9540264271
-0.3337182322,-0.0098376986,-0.1915001106,-0.1522858442,-0.3419988391
-0.2420343327,0.118917056,-0.3235336119,-1.4076856988,-0.3698622046
-1.6693254042,-1.3992890929,-1.5953506981,-1.4313946376,-1.5889838614
-0.0750337459,-0.4265355854,0.1229082059,0.9255240961,-0.0446422728
1.3892315907,1.0618323219,0.9400419645,0.6903854959,1.2557803603
-0.1709178647,0.4045053544,-0.5066645149,-0.8974752708,-0.2276163707
-1.9083077139,-0.7323642346,-1.5716366717,-1.6195502041,-1.8077520094
1.8550262285,-0.0098376986,1.7907149128,1.7998550904,1.9894161602
-2.3338981117,-1.1264648203,-2.0155235728,-2.5478311859,-2.452740773
-0.8507716911,-1.8453559633,-2.318635499,-1.3335892784,-1.3795307775
-1.611967021,-0.7558212557,-1.475624199,-0.3936956538,-1.9641095438
-0.0915418358,0.1242210746,0.2560960068,1.0785716805,0.1387301063
-1.2817438524,-0.4383939369,-0.3272252333,0.9362920385,-0.9891024814
-0.2256782119,-0.2249458301,-0.0074437429,1.1747611994,-0.0283485467
1.842356818,0.9598515834,0.8896761523,-0.3618530872,1.456033978
0.0864556424,-0.1968037522,1.258493586,1.0744493347,1.0200745747
1.4703946179,1.006814952,2.2705319563,1.5151029883,2.235607064
-1.1203163912,-0.4076301413,-0.8596313319,-1.39265508,-0.8957705359
1.4748343742,0.6288649388,1.4938354047,1.6627270441,1.3883664202
0.8361620034,-0.0892345916,0.6191308948,0.1656388158,0.7766369516
0.0366004964,0.3079680342,-0.0072743253,-0.1455693633,-0.2202065948
1.2442747002,0.7297147333,1.6404329469,2.6786113828,1.3459171601
-0.264028871,0.4363672264,-0.3753918846,-0.285974138,-0.2066653034
1.459678379,0.9313036669,0.3056934999,0.7448419332,0.6807018176
1.2649880157,1.0275067954,1.3181448728,1.4222333898,1.3217180615
-0.2115776963,0.4475943555,0.1161354914,-0.2993475421,-0.0590985354
0.0676433376,-0.6757282118,-0.3746333307,-0.419115771,-0.3749790059
0.6214003621,0.531103155,-0.1164164705,0.1020479509,0.6189888965
0.413749336,-0.676466324,0.3177535687,0.3567942556,0.3946868787
0.0786581899,-0.6029397726,-0.1794288629,0.0859532274,-0.0045072851
0.2127118134,-0.2690763987,0.3448873205,0.4726201347,0.318327028
-0.0421617002,-0.5813922983,0.1314349834,-0.000762725,0.0359382637
-0.0675641422,-1.4719193964,0.2485454953,0.4906585987,-0.1269367837
0.2172688498,-0.0363176586,0.0486943319,-0.9145245818,0.0164967071
-0.1682746003,-0.9090689198,0.119097689,-0.1618711303,-0.0172449639
0.2990026571,0.2034169268,0.2326516812,-0.3170353004,0.6391029341
-0.0634858133,1.719604298,-0.6068701422,-1.0514292914,-0.2201588954
0.1681943248,0.1474548446,0.4879609748,1.0367970387,0.1839673964
0.5457324404,1.2206222888,0.1740360271,0.1030673831,0.5649672314
0.0012152911,-0.0875254667,0.8082495082,1.1413456279,0.2884787022
-0.0690511041,-0.4505473726,0.0134713656,-0.080784397,-0.1792447953
0.0335341516,0.6406850574,0.5378964869,0.3105466254,0.2817156441
-0.0466078281,-1.2777340774,0.0322726818,-1.4159955841,-0.3414890066
-0.3841418842,-2.1289196645,-1.3572657108,-1.5810618689,-0.8410092378
0.6199953768,-0.9959027898,0.5292503712,1.1501723646,0.6986854478
0.1645274304,0.1783244874,0.3257384632,0.8242279689,0.3934318743
-0.1307858179,-0.7612381473,-0.1573840962,-0.5142753842,-0.1806274766
0.3301455268,1.0435659391,0.1752613918,0.7288141884,0.1487919214
-0.7357587607,-0.7592596205,-0.8686776999,-1.2517016579,-0.8907874584
-0.3826610087,-1.6263690994,0.4727389251,1.6604471193,-0.0729531968
-1.7947119,-2.7422332819,-1.734169352,-2.1215963217,-1.9504810413
0.367838733,1.0816204349,0.4451367964,0.3838135328,0.4832637101
-2.7860643281,-3.974287922,-2.1786324756,-2.196713235,-2.6615382929
-0.8050087715,-0.2969032573,-1.2635072959,-0.109371259,-1.0343953346
1.9054363002,2.2636557794,2.0041013947,2.9175923868,2.3262525367
2.7628252511,4.2237348748,2.1203704238,1.3647604471,2.7530461391
0.1239166206,0.1807839876,0.2919867713,0.2699180779,0.4872673873
0.9566534389,0.778420074,0.2716041972,0.435338866,0.398759406
0.3678688702,0.8001205579,-0.3799293547,0.0136304708,0.1582471117
-0.0109556262,-0.2779300037,0.1088588602,0.309899821,-0.0614726354
0.1012405484,-0.1979446389,0.623847471,0.6297829467,0.3403950267
-0.1491580821,0.5284969095,-0.0541014262,0.2719941847,0.0551736232
-0.4041520014,0.2580998011,-0.6502125977,-0.5030732427,-0.6148691338
-1.0808127101,-0.4642772745,-0.8960687015,-0.6843081706,-1.2466783688
0.0147021191,-2.7202137401,-0.244487892,-0.4961201781,-0.0848546655
-2.202872278,-2.8677325148,-1.5796633093,-1.4112992908,-2.1750338986
-0.910604207,0.7227561521,-1.3033410954,-1.6393901061,-1.081522318
1.3702504666,1.3900527829,1.164992926,1.1639952974,1.3098851635
2.0810517933,1.6500094907,1.7340601214,1.5922393953,2.0391278211
-1.1530870127,-0.0917046347,-0.7134072838,-0.8598715915,-1.0244663015
-0.68043244,-1.5108171486,-0.8672913229,-0.4788059803,-0.9883299771
-0.2282060229,-0.9223130331,-0.1219120997,0.0120726819,-0.3456987624
-1.2773697197,-1.48694842,-0.5169752861,-0.3193936256,-0.7225889026
-0.7571550197,0.1313142882,-1.4883133483,-1.8312111562,-1.122818035
1.2271090429,1.0334421958,1.294652523,1.7682065971,1.5189663117
-0.0255737593,0.968178906,0.373629113,-0.5474545226,0.1353611919
0.2085520431,2.096150442,0.2069986265,-0.3559535568,0.5060943295
1.6645622483,1.7046669679,1.6705853054,1.9274975858,1.7340093593
-0.9694810504,-1.3239100999,0.0977239499,-0.1467061983,-0.6851220535
-0.009798782,0.2343106901,0.228049419,0.9090844164,0.2540393529
-1.960443963,-0.2264064968,-1.8911693759,-0.5118585221,-1.6052154613
-1.3550203648,-1.2573137507,-0.9572512178,-1.5818367461,-1.6177703223
1.4700836174,-0.9418805529,0.8954571095,1.1822028544,1.0657542871
-1.7257769159,-2.5801344588,-1.0534678343,-2.0056217701,-1.5590849459
3.3354996044,1.7143584008,1.8819244517,2.537090538,3.1694853825
-0.0063769574,0.4079501478,-0.2817830366,-0.4714157649,-0.529510323
1.339362198,2.0991253153,0.9409204007,1.3413184353,1.1539286056
-0.4423832663,0.6987183941,-0.4767861909,-0.2868565323,-0.4435321865
-0.6679226838,0.2610374738,-0.4313640426,-0.7890164273,-0.540131103
0.8623152853,-0.4692446479,1.2106961281,0.5502844076,1.1986908528
-0.0927200611,-1.9632624048,0.2193991078,-0.1604533864,-0.048624657
0.6653881504,2.9982939633,1.0857343614,1.1286743301,1.078550792
0.2530459338,0.2591245273,0.6688435485,0.5023164306,0.4295530754
0.1317527164,0.5268847031,0.0525874251,0.1135439573,0.1409102021
-0.1636387076,-0.5708099948,0.0853501091,0.1953026136,-0.0818653657
-0.3331034412,0.5270553051,0.3077247178,-0.0351710763,-0.1689941443
0.9467281291,0.8183472393,0.5612193571,0.2673043416,0.6686313371
-0.2005478026,0.2820025097,0.0428118617,-0.0290205951,-0.0805871516
0.540900076,0.6240191185,0.0847782188,0.1332847427,0.2762145181
0.0480870686,-0.2993651852,-0.0742637369,0.0539068383,-0.1344648655
-0.1143353581,1.4679230358,0.3503738975,0.2755346449,-0.2172306159
-0.569702959,-0.5309330045,-0.5291800652,-0.471006245,-0.3897146372
0.9467165336,-0.6642163705,0.8164975641,0.6785130605,0.6684432327
-0.5900298818,-0.878434241,-0.6016904918,-0.6314165008,-0.5740793954
-0.7275616916,-0.8850945732,-0.3038260052,-0.3413377359,-0.5565966245
0.1987850186,0.5513720175,0.2511003826,0.2435279841,0.0941274555
-1.8321256146,-0.6746723129,-1.135102364,-1.3209541308,-1.6968111596
0.8518573704,0.0436056167,0.2417503342,0.4402852308,0.4143683013
-2.192684275,-0.6782414465,-1.6783108041,-1.2029244073,-2.0216013241
-0.2305327402,0.5818186441,-0.251856923,0.5410537062,-0.2686925088
1.6575243519,2.2108218257,0.8124902047,1.5936013059,1.4230971024
-0.9946353308,-0.1411377736,-0.4822056393,-0.3768761992,-0.753076067
0.6015740708,-0.5880166442,1.2533214311,0.7438146789,1.1396147028
1.4246537215,1.5485571005,0.8374141356,0.7237884079,1.3714759726
-0.8008693665,-0.6092578693,0.1309150774,0.1737303859,-0.6130018535
1.038231719,-0.3504278346,0.6067212298,0.8369890186,1.0049381286
-0.124019425,-0.1937506717,-0.3534703541,-0.156295075,-0.248656816
